id_gabungan,k001,k002,nomor,nomor_1,k001_clean,id_realisasi,estate,blok,ha,blok_clean
62,B007B,2021.0,42,62.0,B007B,61.0,AME001,B007B,1.9,B007B
63,B011B,2018.0,60,42.0,B011B,41.0,AME001,B011B,13.5,B011B
64,B007C,2022.0,43,69.0,B007C,68.0,AME001,B007C,1.4,B007C
65,C005C,2018.0,71,43.0,C005C,42.0,AME001,C005C,0.7,C005C
66,B007D,2023.0,44,74.0,B007D,73.0,AME001,B007D,0.3,B007D
67,B008C,2019.0,47,49.0,B008C,48.0,AME001,B008C,1.6,B008C
68,B008D,2020.0,48,58.0,B008D,57.0,AME001,B008D,3.1,B008D
69,B008E,2023.0,49,75.0,B008E,74.0,AME001,B008E,1.7,B008E
70,B009D,2019.0,53,50.0,B009D,49.0,AME001,B009D,1.15,B009D
71,B011C,2019.0,61,51.0,B011C,50.0,AME001,B011C,1.4,B011C
72,C004D,2019.0,66,52.0,C004D,51.0,AME001,C004D,0.3,C004D
73,C005D,2019.0,72,53.0,C005D,52.0,AME001,C005D,0.2,C005D
74,B009E,2020.0,54,59.0,B009E,58.0,AME001,B009E,1.7000000000000002,B009E
75,B009F,2021.0,55,63.0,B009F,62.0,AME001,B009F,0.7,B009F
76,B009G,2023.0,56,76.0,B009G,75.0,AME001,B009G,1.2,B009G
77,C003A,0.0,62,310.8095238095238,C003A,,,,,
78,C004E,2021.0,67,64.0,C004E,63.0,AME001,C004E,0.1,C004E
79,C004F,0.0,68,310.8095238095238,C004F,80.0,AME001,C004F,4.52413624555524,C004F
80,C005E,0.0,73,310.8095238095238,C005E,,,,,
81,D001A,2009.0,81,85.0,D001A,84.0,AME002,D001A,25.8,D001A
82,D002A,2009.0,82,86.0,D002A,85.0,AME002,D002A,23.7,D002A
83,F006A,2008.0,110,82.0,F006A,81.0,AME002,F006A,24.9,F006A
84,D003A,2009.0,83,87.0,D003A,86.0,AME002,D003A,25.3,D003A
85,F007A,2008.0,111,83.0,F007A,82.0,AME002,F007A,20.2,F007A
86,D004A,2009.0,84,88.0,D004A,87.0,AME002,D004A,22.0,D004A
87,F008A,2008.0,112,84.0,F008A,83.0,AME002,F008A,29.6,F008A
88,D005A,2009.0,85,89.0,D005A,88.0,AME002,D005A,24.1,D005A
89,D006A,2009.0,86,90.0,D006A,89.0,AME002,D006A,23.0,D006A
90,D007A,2009.0,87,91.0,D007A,90.0,AME002,D007A,24.7,D007A
91,D008A,2009.0,88,92.0,D008A,91.0,AME002,D008A,25.3,D008A
92,D009A,2009.0,89,93.0,D009A,92.0,AME002,D009A,24.4,D009A
93,D010A,2009.0,90,94.0,D010A,93.0,AME002,D010A,23.7,D010A
94,D011A,2009.0,91,95.0,D011A,94.0,AME002,D011A,24.0,D011A
95,D012A,2009.0,92,96.0,D012A,95.0,AME002,D012A,26.7,D012A
96,E001A,2009.0,93,97.0,E001A,96.0,AME002,E001A,22.5,E001A
97,E002A,2009.0,94,98.0,E002A,97.0,AME002,E002A,22.2,E002A
98,E003A,2009.0,95,99.0,E003A,98.0,AME002,E003A,21.6,E003A
99,E004A,2009.0,96,100.0,E004A,99.0,AME002,E004A,19.9,E004A
100,E005A,2009.0,97,101.0,E005A,100.0,AME002,E005A,24.0,E005A
